ISIN;Nombre;USA;EUROPE;UK;JAPAN;CANADA;AUSTRALIA;COMISION (%);Tech;Financials;Industrials;Consumer Discretionary;Health;Comunication Services;Staples;Energy;Mterials ;Utilities;Real State;Equalweight;passive (0)/active(1);currency
IE00BYX5NX33;Fidelity MSCI World Index Fund EUR P Acc;71,3;14;3,7;5,4;3,2;1,7;0,12;24,4;16,9;11,3;10,2;9,6;8,1;6,2;3,4;3,2;2,6;2;0;0;usd
IE00B03HD316;Vanguard Global Stock Index Fund EUR Hedged Acc;71;14,6;3,8;5,7;3,2;1,7;0,18;23,9;17,3;11,3;10,2;10,8;8;6,6;3,6;3,4;2,8;2,2;0;0;eur
ES0165242001;MyInvestor S&P500 Equiponderado FI (ishares sp500eq UCITS para los sectores);100;0;0;0;0;0;0,38;14,29;14,73;16,19;10,13;11,16;6,35;7,45;4,13;5,05;2,5;2,09;1;0;usd
LU0261952682;Fidelity Funds - Euro 50 Index Fund A-Acc-EUR;0;100;0;0;0;0;0,2;15,7;24,5;17,7;14,4;5,3;3;6,7;3,6;3,9;5,2;0;0;0;eur
IE00BYX5MX67;Fidelity S&P 500 Index Fund EUR P Acc;100;0;0;0;0;0;0,06;;;;;;;;;;;;0;0;usd
LU0625737910;Pictet-China Index P EUR;;;;;;;0,56;;;;;;;;;;;;;;;
IE0031786142;Vanguard Emerging Markets Stock Index Fund Investor EUR Accumulation;;;;;;;0,23;;;;;;;;;;;;;;
